id,event_id,division,distance_m,rank,bib,skater_name,best_time_text,best_time_seconds,page_number,affiliation,club_id,skater_id
,128,Group 3,1000,1,157,Russel Einsla,1:54.990,114.99,,,,613
,128,Group 3,1000,2,156,Zachary Double,1:55.290,115.29,,,,214
,128,Group 3,1000,3,123,Madeline Koons,1:56.360,116.36,,,,200
,128,Group 3,1000,4,222,Gabriel Wochtl,1:57.540,117.54,,,,495
,128,Group 3,1000,5,135,Kathryn Sautter,1:58.740,118.74,,,,806
,128,Group 3,1000,6,173,Evan Krieg,1:59.710,119.71,,,,785
,128,Group 3,1000,7,138,Priyanka Srinivasula,2:01.540,121.54,,,,79
,128,Group 3,1000,8,204,Christian Shelton-White,2:01.790,121.79,,,,51
,128,Group 3,1000,9,152,Nicholas Clark,2:05.500,125.5,,,,203
,128,Group 3,1000,10,214,Adrian Tylwalk,2:06.780,126.78,,,,237
,128,Group 3,1000,11,218,Jabari Watts,2:08.340,128.34,,,,93
,128,Group 3,1000,12,153,Dexter Colice,2:09.110,129.11,,,,351
,128,Group 3,500,1,156,Zachary Double,0:54.660,54.66,,,,214
,128,Group 3,500,2,157,Russel Einsla,0:54.820,54.82,,,,613
,128,Group 3,500,3,173,Evan Krieg,0:55.440,55.44,,,,785
,128,Group 3,500,4,135,Kathryn Sautter,0:56.110,56.11,,,,806
,128,Group 3,500,5,222,Gabriel Wochtl,0:56.360,56.36,,,,495
,128,Group 3,500,6,204,Christian Shelton-White,0:57.070,57.07,,,,51
,128,Group 3,500,7,123,Madeline Koons,0:57.360,57.36,,,,200
,128,Group 3,500,8,152,Nicholas Clark,0:57.540,57.54,,,,203
,128,Group 3,500,9,138,Priyanka Srinivasula,0:57.600,57.6,,,,79
,128,Group 3,500,10,218,Jabari Watts,0:59.350,59.35,,,,93
,128,Group 3,500,11,214,Adrian Tylwalk,1:01.910,61.91,,,,237
,128,Group 3,500,12,153,Dexter Colice,1:02.310,62.31,,,,351
,128,Group 3,777,1,156,Zachary Double,1:27.420,87.42,,,,214
,128,Group 3,777,2,173,Evan Krieg,1:27.670,87.67,,,,785
,128,Group 3,777,3,157,Russel Einsla,1:27.920,87.92,,,,613
,128,Group 3,777,4,135,Kathryn Sautter,1:28.100,88.1,,,,806
,128,Group 3,777,5,204,Christian Shelton-White,1:30.040,90.04,,,,51
,128,Group 3,777,6,123,Madeline Koons,1:30.170,90.17,,,,200
,128,Group 3,777,7,138,Priyanka Srinivasula,1:32.710,92.71,,,,79
