raw_value,count,type,canonical,country,notes
Santa Clarita,4,club,Santa Clarita Speed Skating,US,prefix~'Santa Clarita Speed Skating'
Northbrook Speed Skating Club,4,club,Northbrook Speedskating Club,US,fuzzy~'Northbrook Speedskating Club'
Timpanogos,4,club,Timpanogos Speed Skating,US,prefix~'Timpanogos Speed Skating'
USA-GWSS,4,club,USA-GWSS,US,exact
Milton,4,club,Milton Speedskating Club,CAN,prefix~'Milton Speedskating Club'
Lakewood Speedskating,4,club,Lakewood Speedskating,US,exact
Markham,3,club,Markham Speed Skating Club,CAN,prefix~'Markham Speed Skating Club'
Phoenix,3,club,Phoenix Speed Skating,US,prefix~'Phoenix Speed Skating'
Park City,3,club,Park City Speed Skating,US,prefix~'Park City Speed Skating'
Milton Speed Skating Club,3,club,Milton Speedskating Club,CAN,fuzzy~'Milton Speedskating Club'
Beijing Xingruibingxue Club,3,club,Beijing Xingruibingxue Club,CHN,exact
Great Atlantic Speedskating,3,club,Great Atlantic Speedskating Club,US,prefix~'Great Atlantic Speedskating Club'
USA-RSST,3,club,Rochester Speed Skating Team,US,USA-RSST
USA-UCB,3,club,United Capital Blades,US,USA-UCB
Wolverine Sports Club,2,club,Wolverine Sports Club,US,exact
Meteor,2,club,Meteor Speed Skating Club,US,prefix~'Meteor Speed Skating Club'
Cornerstone Speedskating Club,2,club,Cornerstone Speedskating Club,US,exact
Madison Speed Skating Club,2,club,Madison Speed Skating Club,US,exact
USA-GER,2,club,Germany,US,USA-GER
USA-WSC,2,club,Wisconsin Speed Skating Club,US,USA-WSC
USA-UVSC,2,club,USA-UVSC,US,exact
USA-COLSC,2,club,Columbus Speedskating Club,US,USA-COLSC
CAN-TSSC,2,club,USA-TSSC,CAN,CAN-TSSC
GSSC,2,club,Garden State Speedskating,US,abbrev=GSSC
Puget sound,2,club,Puget Sound Speedskating,US,prefix~'Puget Sound Speedskating'
Richmond Rockets,1,club,Richmond Rockets Speed Skating,US,prefix~'Richmond Rockets Speed Skating'
United Capital,1,club,United Capital Blades,US,prefix~'United Capital Blades'
Connecticut,1,club,Connecticut Speedskating,US,prefix~'Connecticut Speedskating'
Lakewood SPeedskating,1,club,Lakewood Speedskating,US,exact
Flushing,1,club,Flushing Meadows Speedskating Club,US,prefix~'Flushing Meadows Speedskating Club'
Gateway Speedskating,1,club,Gateway Speedskating Club,US,prefix~'Gateway Speedskating Club'
UCB,1,club,United Capital Blades,US,abbrev=UCB
Cleveland Heights SPeedskating,1,club,Cleveland Heights Speedskating Club,US,prefix~'Cleveland Heights Speedskating Club'
Wolverine Sports,1,club,Wolverine Sports Club,US,prefix~'Wolverine Sports Club'
Pittsburgh Speedskating,1,club,Pittsburgh Speedskating Club,US,prefix~'Pittsburgh Speedskating Club'
SWITZERLAND,1,club,Switzerland,US,exact
Midway,1,club,Midway Speedskating Club,US,prefix~'Midway Speedskating Club'
Columbus Speedskating Club,1,club,Columbus Speedskating Club,US,exact
Northbrook speedskating club,1,club,Northbrook Speedskating Club,US,exact
West Michigan Speedskating,1,club,West Michigan Speedskating Club,US,prefix~'West Michigan Speedskating Club'
MSSC,1,club,Madison Speed Skating Club,US,abbrev=MSSC
Franklin Park Speed Skating Club,1,club,Franklin Park Speedskating Club,US,fuzzy~'Franklin Park Speedskating Club'
Meteor Speed Skating Club,1,club,Meteor Speed Skating Club,US,exact
Elmbrook Speed Skating Club,1,club,Elmbrook Speedskating Club,US,fuzzy~'Elmbrook Speedskating Club'
FAST Program,1,club,FAST Program,US,exact
Buffalo Speedskating Club,1,club,Buffalo Speedskating Club,US,exact
Champaign Regional Speedskating,1,club,Champaign Regional Speedskating,US,exact
Northbrook Speedskating Club,1,club,Northbrook Speedskating Club,US,exact
Elmbrook Speedskating Club,1,club,Elmbrook Speedskating Club,US,exact
Pittsburgh Speedskating Club,1,club,Pittsburgh Speedskating Club,US,exact
Michigan,1,club,Michigan Speedskating,US,prefix~'Michigan Speedskating'
Illini Speed,1,club,Illini Speed Skating,US,prefix~'Illini Speed Skating'
USA-TSSC,1,club,USA-TSSC,US,exact
Oakville,1,club,Oakville Speed Skating Club,CAN,prefix~'Oakville Speed Skating Club'
USA-DIRECT,1,club,Direct (Unaffiliated),US,USA-DIRECT
USA-CRS,1,club,Champaign Regional Speedskating,US,USA-CRS
USA-NCSSA,1,club,Northern California Speed Skating Association,US,USA-NCSSA
USA-WOSC,1,club,USA-OSC,US,fuzzy~'USA-OSC'
USA-CGS,1,club,Colorado Gold Speedskating,US,USA-CGS
USA-MSC,1,club,Midway Speedskating Club,US,USA-MSC
USA-GASSC,1,club,Great Atlantic Speedskating Club,US,USA-GASSC
Madison Speed Skating,1,club,Madison Speed Skating Club,US,prefix~'Madison Speed Skating Club'
PTSC,1,club,Potomac Speedskating,US,abbrev=PTSC
USA,499,country,USA,US,
JPN,81,country,JPN,JPN,
